FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
2ba6fb4c8055d1d3636eb5958946b707,Unassigned,NA,NA,NA,NA,NA,NA
ae25dc35f9b03ad33d223c9806456a38,Unassigned,NA,NA,NA,NA,NA,NA
4e1b34c12fdb1ea38fa23956e0a9ef2b,Unassigned,NA,NA,NA,NA,NA,NA
8659aec29feef119ef5ac2a2a6a8d51d,Unassigned,NA,NA,NA,NA,NA,NA
3a07a74322f1f1f0c150d206c0a8a6f2,Unassigned,NA,NA,NA,NA,NA,NA
6a7dea3521d893f0506ce8f71e82b16d,Unassigned,NA,NA,NA,NA,NA,NA
02ea3f02c7d0774ed889efcec83049c4,Unassigned,NA,NA,NA,NA,NA,NA
a41c6345807137b6e7f60902f885aa85,Unassigned,NA,NA,NA,NA,NA,NA
c84b33c04af8bf76b934d01f0a5982a5,Unassigned,NA,NA,NA,NA,NA,NA
9531ed191c63c38c728eb33987ae6645,Unassigned,NA,NA,NA,NA,NA,NA
0e9a115a5bbcdf564ccb764bca40c07a,Unassigned,NA,NA,NA,NA,NA,NA
0172f36bf471c693b0d3d95dc36a7498,Unassigned,NA,NA,NA,NA,NA,NA
002cb38d29c0c42b97be052206d23445,Unassigned,NA,NA,NA,NA,NA,NA
e9fc75b5a6ee97b1593f595895a20e50,Unassigned,NA,NA,NA,NA,NA,NA
8544b6f3c9703a5eb7941e1154751a95,Unassigned,NA,NA,NA,NA,NA,NA
1e5bc34cec12e47e0df0ad83f5f2d19e,Unassigned,NA,NA,NA,NA,NA,NA
56490332a5c1cc9e89e5ced7ecdd2f18,Unassigned,NA,NA,NA,NA,NA,NA
1262ed6d581044463f38602ab50fcc78,Unassigned,NA,NA,NA,NA,NA,NA
06dcc54a5fedf68b91e865ed4493760a,Unassigned,NA,NA,NA,NA,NA,NA
ca8cb86d6018e054d6de41b026d1d959,Unassigned,NA,NA,NA,NA,NA,NA
5761edb2447863acae408673c85ce29f,Unassigned,NA,NA,NA,NA,NA,NA
6e4d7d4df3212ae3a4ed25fcf0abe886,Unassigned,NA,NA,NA,NA,NA,NA
0d8498bfd77bd910a90e62e7d6ddf3de,Unassigned,NA,NA,NA,NA,NA,NA
233225c99e19de108ce6b6f44a4597d8,Unassigned,NA,NA,NA,NA,NA,NA
91fcf638e5c1a930e1da03639fb6cb70,Unassigned,NA,NA,NA,NA,NA,NA
2dbaffcd82c55ba4a8e6ffed4fac1526,Unassigned,NA,NA,NA,NA,NA,NA
b4a922c30a6febafdcb0351c97612e20,Unassigned,NA,NA,NA,NA,NA,NA
52b0088a568510d5b9b56106173ca59f,Unassigned,NA,NA,NA,NA,NA,NA
3a51247c9ac1a45cc2d2a6abf61d19bd,Unassigned,NA,NA,NA,NA,NA,NA
4c07a188e29d07668c7219a5faa621d8,Unassigned,NA,NA,NA,NA,NA,NA
00e80855198cb8645477b5efa75dbee4,Unassigned,NA,NA,NA,NA,NA,NA
6c57bb0ebc98cdb125d06283bfd7e15f,Unassigned,NA,NA,NA,NA,NA,NA
df2e14b643fbd34460c884deb9a9e7f9,Unassigned,NA,NA,NA,NA,NA,NA
08e99888b7f5d5ba0ef45bd2a696d771,Unassigned,NA,NA,NA,NA,NA,NA
cdd8286ab88b00ee4846c360887f77d7,Unassigned,NA,NA,NA,NA,NA,NA
a77fa61dfec29784917137c94aff6b50,Unassigned,NA,NA,NA,NA,NA,NA
e8599bb117e1a0935d0cbb1e57dcbb6a,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Gerakladium, G3-AB253788.1
0eb33d002d65710a6338766d2022b76d,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Gerakladium, G3-JQ247051.1
3475109fd45f1b1bcc2af78a7045df6e,Unassigned,NA,NA,NA,NA,NA,NA
5fb11aa613eeabb31e3132a0ce84e38c,Unassigned,NA,NA,NA,NA,NA,NA
f0d9ceff20d00c44998c5b977a12f801,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium, D1-EU074894.1
c84bf157ddbeeb8171b3e7e6b26da324,Unassigned,NA,NA,NA,NA,NA,NA
7272208434d823cde647c7b49f9dcce6,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium, D1a-AF174556.1
03454ff2c28287e96592177ceb76c8e5,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium, D9-KU842643.1
41c7e64ecfc0499b3a6f28b610c5f4cf,Unassigned,NA,NA,NA,NA,NA,NA
e9137c5210d2c872a882fb837ba143b6,Unassigned,NA,NA,NA,NA,NA,NA
943607048166ddd825fb39d405efbb86,Unassigned,NA,NA,NA,NA,NA,NA
88ca28c65bcf596288f234cda0fd1182,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium, D1a-AB778750.1
477aa3eae6ab97f0b98ddaacf44c75f0,Unassigned,NA,NA,NA,NA,NA,NA
fc5104244624a9cadaed0692418a83f4,Unassigned,NA,NA,NA,NA,NA,NA
26a156662c3cd74a67e2f5b7b86f57fc,Unassigned,NA,NA,NA,NA,NA,NA
b72c210e6eb103f301ac85cf5c52ce14,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C27_C30type1-KF623574.1
63f2ecc4dbe8f9c5281c0aedd80639ef,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C27_C30type1-KF623589.1
d70f0fcbc9a4bb92bcc1afde74cd7f7e,Unassigned,NA,NA,NA,NA,NA,NA
f5c26f7c372540617db2e55041062de8,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C27_C30type1-EU703806.1
46fb4a85170ba5bf42a0f98c87a54481,Unassigned,NA,NA,NA,NA,NA,NA
c93d498bcfbbbcc6bb95f5b2cdab721c,Unassigned,NA,NA,NA,NA,NA,NA
c7bda4ee617f795a1c11304c23109964,Unassigned,NA,NA,NA,NA,NA,NA
cd3eed3defd9abd1c75aedf59e3b07cd,Unassigned,NA,NA,NA,NA,NA,NA
f872b9dcf4bef961d0a4700e607d0800,Unassigned,NA,NA,NA,NA,NA,NA
dbf0ac13ffcd96573c20a4e1a53b3e76,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C1-KY988287.1
4b6b5a860260073118c30998e432f904,Unassigned,NA,NA,NA,NA,NA,NA
33f2415b5f40fdd944f054d252e97b7c,Unassigned,NA,NA,NA,NA,NA,NA
523fb5f297913436f092853bc216de91,Unassigned,NA,NA,NA,NA,NA,NA
7d1d4594dc6d9a76414149528d850a10,Unassigned,NA,NA,NA,NA,NA,NA
0fc42f87a1724c280a8653e68b722041,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C3.8-FJ461503.1
c68d91dce0aeadac1b2f86dada793e2d,Unassigned,NA,NA,NA,NA,NA,NA
d8109b9b3287d799636e49fdc54455ad,Unassigned,NA,NA,NA,NA,NA,NA
